timestamps,CAN_DataFrame.CAN_DataFrame.BusChannel,CAN_DataFrame.CAN_DataFrame.ID,CAN_DataFrame.CAN_DataFrame.IDE,CAN_DataFrame.CAN_DataFrame.DLC,CAN_DataFrame.CAN_DataFrame.DataLength,CAN_DataFrame.CAN_DataFrame.DataBytes,CAN_DataFrame.CAN_DataFrame.Dir,CAN_DataFrame.CAN_DataFrame.EDL,CAN_DataFrame.CAN_DataFrame.BRS
0.0,1,2024,0,8,8,[  3  65  11  28 255 255 255 255],0,0,0
0.01485000000002401,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
0.02040000000002351,1,2024,0,8,8,[  4  65  12  37   0 255 255 255],0,0,0
0.03485000000000582,1,2015,0,8,8,[ 2  1 13 85 85 85 85 85],1,0,0
0.04005000000000791,1,2024,0,8,8,[  3  65  13  46 255 255 255 255],0,0,0
0.05485000000001605,1,2015,0,8,8,[ 2  1 16 85 85 85 85 85],1,0,0
0.07484999999999786,1,2015,0,8,8,[ 2  1 17 85 85 85 85 85],1,0,0
0.08004999999999995,1,2024,0,8,8,[  3  65  17  43 255 255 255 255],0,0,0
0.0948500000000081,1,2015,0,8,8,[ 2  1 94 85 85 85 85 85],1,0,0
0.11490000000000578,1,2015,0,8,8,[ 2  1 31 85 85 85 85 85],1,0,0
0.12050000000002115,1,2024,0,8,8,[  4  65  31   0 167 255 255 255],0,0,0
0.15485000000001037,1,2015,0,8,8,[ 2  1  5 85 85 85 85 85],1,0,0
0.16035000000002242,1,2024,0,8,8,[  3  65   5  89 255 255 255 255],0,0,0
0.17490000000000805,1,2015,0,8,8,[ 2  1 10 85 85 85 85 85],1,0,0
0.19490000000001828,1,2015,0,8,8,[ 2  1 11 85 85 85 85 85],1,0,0
0.20025000000001114,1,2024,0,8,8,[  3  65  11  28 255 255 255 255],0,0,0
0.21485000000001264,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
0.2203500000000247,1,2024,0,8,8,[  4  65  12  36 188 255 255 255],0,0,0
0.23490000000001032,1,2015,0,8,8,[ 2  1 13 85 85 85 85 85],1,0,0
0.24045000000000982,1,2024,0,8,8,[  3  65  13  46 255 255 255 255],0,0,0
0.25490000000002055,1,2015,0,8,8,[ 2  1 16 85 85 85 85 85],1,0,0
0.27490000000000236,1,2015,0,8,8,[ 2  1 17 85 85 85 85 85],1,0,0
0.28025000000002365,1,2024,0,8,8,[  3  65  17  43 255 255 255 255],0,0,0
0.2949000000000126,1,2015,0,8,8,[ 2  1 94 85 85 85 85 85],1,0,0
0.31490000000002283,1,2015,0,8,8,[ 2  1 31 85 85 85 85 85],1,0,0
0.3202500000000157,1,2024,0,8,8,[  4  65  31   0 167 255 255 255],0,0,0
0.3748999999999967,1,2015,0,8,8,[ 2  1 10 85 85 85 85 85],1,0,0
0.3949000000000069,1,2015,0,8,8,[ 2  1 11 85 85 85 85 85],1,0,0
0.4002499999999998,1,2024,0,8,8,[  3  65  11  28 255 255 255 255],0,0,0
0.41490000000001714,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
0.42045000000001664,1,2024,0,8,8,[  4  65  12  36 132 255 255 255],0,0,0
0.43489999999999895,1,2015,0,8,8,[ 2  1 13 85 85 85 85 85],1,0,0
0.44010000000000105,1,2024,0,8,8,[  3  65  13  45 255 255 255 255],0,0,0
0.4549000000000092,1,2015,0,8,8,[ 2  1 16 85 85 85 85 85],1,0,0
0.4749000000000194,1,2015,0,8,8,[ 2  1 17 85 85 85 85 85],1,0,0
0.48020000000002483,1,2024,0,8,8,[  3  65  17  43 255 255 255 255],0,0,0
0.49490000000000123,1,2015,0,8,8,[ 2  1 94 85 85 85 85 85],1,0,0
0.5149000000000115,1,2015,0,8,8,[ 2  1 31 85 85 85 85 85],1,0,0
0.5202500000000043,1,2024,0,8,8,[  4  65  31   0 167 255 255 255],0,0,0
0.5749000000000137,1,2015,0,8,8,[ 2  1 10 85 85 85 85 85],1,0,0
0.594900000000024,1,2015,0,8,8,[ 2  1 11 85 85 85 85 85],1,0,0
0.600200000000001,1,2024,0,8,8,[  3  65  11  28 255 255 255 255],0,0,0
0.6149000000000058,1,2015,0,8,8,[ 2  1 12 85 85 85 85 85],1,0,0
0.6204500000000053,1,2024,0,8,8,[  4  65  12  36  92 255 255 255],0,0,0
0.634900000000016,1,2015,0,8,8,[ 2  1 13 85 85 85 85 85],1,0,0
0.6402000000000214,1,2024,0,8,8,[  3  65  13  45 255 255 255 255],0,0,0
0.6548999999999978,1,2015,0,8,8,[ 2  1 16 85 85 85 85 85],1,0,0
0.674900000000008,1,2015,0,8,8,[ 2  1 17 85 85 85 85 85],1,0,0
